,0
0,0.20713908673713322
1,0.33956765925471744
2,-0.22045267782379785
3,-0.14453995627825766
4,-0.07782633957996077
5,0.06185109915345022
6,0.2864117795429153
7,-0.1604815283232034
8,-0.14453995627825766
9,-0.07782633957996077
10,-0.22045267782379785
11,-0.22045267782379785
12,0.07907928042381562
13,-0.17606747294825087
14,0.17719173516319509
15,0.20713908673713322
16,0.4135824715689844
17,0.3886391858210434
18,0.19236787195569738
19,-0.1604815283232034
20,0.09611700102800791
21,-0.025703850957689456
22,-0.19127236834055028
23,-0.26090701937637895
24,0.12947037722072663
25,0.33956765925471744
26,-0.17606747294825087
27,0.2618405580674976
28,-0.12827114586090183
29,-0.2060738540854674
30,-0.11170631036295031
31,0.30908323662629567
32,-0.09487929543370188
33,-0.09487929543370188
34,-0.2060738540854674
35,0.02698485097639347
36,-0.09487929543370188
37,0.07907928042381562
38,-0.17606747294825087
39,0.11292605754770957
40,-0.2060738540854674
41,0.31970957773324926
42,-0.09487929543370188
43,0.06185109915345022
44,0.19236787195569738
45,-0.1604815283232034
46,-0.1604815283232034
47,-0.1604815283232034
48,-0.04319777601455388
49,0.19236787195569738
50,-0.04319777601455388
51,-0.12827114586090183
52,0.4189749097554123
53,-0.06058578974011486
54,0.27436308942422083
55,0.42884845955585993
56,0.45527007995338886
57,-0.17606747294825087
58,-0.025703850957689456
59,-0.17606747294825087
60,-0.025703850957689456
61,0.4453394057495754
62,-0.06058578974011486
63,-0.1604815283232034
64,0.30908323662629567
65,-0.025703850957689456
66,-0.11170631036295031
67,0.02698485097639347
68,-0.06058578974011486
69,-0.008146600024116268
70,0.2618405580674976
71,-0.008146600024116268
72,-0.19127236834055028
73,0.3576183963435917
74,-0.29715534919389186
75,0.45216745451764107
76,-0.14453995627825766
77,-0.19127236834055028
78,-0.2060738540854674
79,-0.11170631036295031
80,-0.19127236834055028
81,0.11292605754770957
82,-0.008146600024116268
83,0.31970957773324926
84,0.4135824715689844
85,0.2488484497499155
86,-0.1604815283232034
87,-0.22045267782379785
88,-0.14453995627825766
89,0.11292605754770957
90,-0.17606747294825087
91,-0.23439269682872488
92,-0.29715534919389186
93,-0.12827114586090183
94,0.044472468838669066
95,-0.1604815283232034
96,-0.1604815283232034
97,-0.19127236834055028
98,-0.3082882802946215
99,-0.12827114586090183
100,-0.23439269682872488
101,-0.1604815283232034
102,-0.12827114586090183
103,-0.025703850957689456
104,-0.11170631036295031
105,-0.2060738540854674
106,-0.12827114586090183
107,0.2214863548523256
108,-0.17606747294825087
109,0.23539375971210785
110,0.07907928042381562
111,-0.22045267782379785
112,-0.23439269682872488
113,0.30908323662629567
114,-0.23439269682872488
115,-0.2060738540854674
116,-0.1604815283232034
117,-0.19127236834055028
118,0.09611700102800791
119,0.009430769246552728
120,-0.14453995627825766
121,-0.2478808378585693
122,-0.2478808378585693
123,0.14571629920565066
124,-0.06058578974011486
125,-0.11170631036295031
126,-0.04319777601455388
