,0
0,-1.4437288275992444e-07
1,-6.507800098809469e-08
2,-9.555543784678378e-06
3,-3.219646771412954e-15
4,-0.032813063741603976
5,-0.00013460921047891983
6,-3.5565241862656194e-08
7,-8.891028377189247e-05
8,-7.167963449461467e-07
9,-2.8343993818680246e-13
10,-0.005366034029791411
11,-1.7254444836689586e-05
12,-6.2283052617573276e-06
13,-0.011750453627326518
14,-2.752663850857928e-06
15,-0.012283127097042046
16,-0.004424004428108974
17,-0.00023603604277333545
18,-0.07307058944391076
19,-0.00011524041886867842
20,-0.0001352445834492677
21,-0.104811149942313
22,-3.768913679658148e-05
23,-5.427776006428076e-10
24,-3.7321793766587064e-08
25,-2.3631523633493856e-05
26,-0.020635071295763474
27,-0.0007579748323489621
28,-0.1706864943275066
29,-0.0008542758061158562
30,-3.3098541241116664e-08
31,-0.02369457711256473
32,-0.012120109270798984
33,-0.010302903186932832
34,-8.725575817436493e-12
35,-0.0012200897320890913
36,-0.004396608624516185
37,-5.574145888864734e-06
38,-0.00016479362376320417
39,-9.214236737387083e-06
40,-4.946246301429369e-08
41,-0.0077371032218809255
42,-0.01349670674827208
43,-9.31763888267767e-09
44,-0.0003504770551969738
45,-0.004294996226050785
46,-5.530985003332489e-09
47,-0.0006210318157657824
48,-3.161545124585885e-06
49,-1.053535259032401e-09
50,-5.916656053983615e-11
51,-2.2890022766119955e-08
52,-6.606064044112347e-05
53,0.0
54,-2.653103710414939e-05
55,-9.871656159177178e-09
56,-2.213562666497637e-10
57,-0.0015100847606346335
58,-7.241363044419025e-06
59,-2.5083173686546445e-05
60,-0.0009423204760181658
61,-1.1729184734576847e-08
62,-0.12684215060448745
63,-7.33919706119579e-08
64,-7.412272763129835e-06
65,-1.1458494360017113e-06
66,-8.447454695703627e-05
67,-7.060835249816932e-10
68,-3.303225672990351e-07
69,-0.00021664968267587348
70,-0.024613726688560655
71,-0.005152259923230984
72,-6.193087751560356e-05
73,-0.006882061052326027
74,-6.184075473925077e-11
75,-1.648848730662067e-06
76,-7.105427357601002e-15
77,-7.841657434504157e-09
78,-4.762047201012365e-09
79,-7.271205948455872e-08
80,0.0
81,-0.03731113633743943
82,-1.7184476064358023e-11
83,0.0
84,-0.008155113237282574
85,-1.655728440730364e-05
86,-3.975344007756121e-06
87,-4.779755036210531e-09
88,-1.7920708250684925e-09
89,-0.0015302559095704549
90,-3.2507684081806154e-05
91,-2.0494494989975465e-11
92,0.0
93,-1.760031975717169e-07
94,-1.27097823104938e-05
95,-1.1018737033907655e-09
96,-0.0009604088097545649
97,-0.00011021558919710461
98,-7.552360470342023e-08
99,-2.4683198041053345e-08
100,-5.970633676355419e-08
101,-4.852634516439025e-09
102,-2.22327624532781e-06
103,0.0
104,-5.671574321297612e-12
105,-1.532107773982716e-14
106,-7.443437688436916e-08
107,-2.138844656940364e-11
108,-0.004315243861005569
109,-1.974158480022581e-07
110,-5.345846054716219e-08
111,-0.00010820897133367868
112,-9.490341845719286e-11
113,-0.00033939039412145267
114,-0.0005761596633079291
115,-0.004394879528131779
116,-2.395073472882814e-09
117,-4.440892098500626e-16
118,-3.3084646133829665e-14
119,0.0
120,-8.121015115936103e-08
121,-9.786638488185062e-05
122,-2.6593598212443226e-08
123,-0.009384764299216974
124,-3.2162364764776186e-06
125,-1.2168441529736285e-05
126,-0.00016718604989518493
127,-5.617722966810845e-07
128,0.0
129,-3.71999999582151e-07
130,-1.2923494474570418e-07
131,-1.0805278494174786e-07
132,-5.852480944312788e-09
133,-1.824397815375356e-06
134,-1.3088727890742113e-05
135,-2.7201263715248558e-05
136,-0.0026628068903340463
137,-2.4003207199640997e-09
138,-1.4878651644067986e-08
139,-7.973621762857874e-13
140,-0.0002057403797837143
141,-0.008337763489326577
142,-1.5448686774277576e-10
143,-0.04564226906657254
144,-1.9132029776325332e-05
145,-1.741208274841366e-05
146,-7.314691796711514e-07
147,-1.7408524241036005e-05
148,-0.0017479086317020442
149,-5.794353885590908e-11
150,-2.766797901898599e-11
151,-5.432580340292148e-05
152,0.0
153,0.0
154,-4.553947996477348e-08
155,-2.220446049250313e-16
156,0.0
157,-5.237350559239573e-05
158,-1.7311435457356694e-06
159,-5.639932965095795e-14
160,-1.5543122344752192e-15
161,-2.1955357532021935e-09
162,0.0
163,-9.287738880203733e-07
164,-1.8771810772477693e-09
165,0.0
166,-0.0652783303689577
167,-7.702175249812981e-07
168,-5.725277973933629e-08
169,-1.0360590807501069e-07
170,-4.1672992517005625e-05
171,-3.902777390152323e-08
172,-1.952515926717524e-11
173,-4.09251288235879e-06
174,-2.4946948951054537e-09
175,-0.0018294824849139912
176,-0.0014770304943683144
177,-0.0005022561374454781
178,-0.000312061291044885
179,0.0
180,-1.7299847554497205e-08
181,-0.029945823173393782
182,-8.59892515381322e-06
183,-7.125881246250465e-05
184,-5.632603328198371e-08
185,-0.003493697083856495
186,-2.8481186187256924e-07
187,-0.00011656654750558104
188,-2.1952890416621074e-07
189,-1.1324274851176597e-14
190,-3.767212428074096e-05
191,-1.234749700596005e-06
192,-0.009122956080159339
193,-0.001975370018544975
194,-0.00012341953430361485
195,-5.832567806507427e-08
196,-0.00028461974646531996
197,-0.01419927365321172
198,-7.989840011823901e-09
199,0.0
200,-5.762429055256035e-06
201,0.0
202,-0.009248181939937261
203,-0.0011763945373712836
204,0.0
205,-0.0015526268644168173
206,-1.195760217509445e-07
207,0.0
208,-1.6653345369377348e-15
209,-4.440892098500626e-16
210,-4.745183099896799e-06
211,-3.876994186113869e-05
212,-0.0007819745755053287
213,-3.605723224442414e-07
214,-0.014070381962787426
215,-0.05030244579594112
216,-0.000419066864992379
217,-5.903147749253268e-05
218,-0.006287516646961588
219,-1.1102230246251565e-16
220,-0.004155920921209089
221,-0.0009362835250137369
222,-2.444919487976094e-07
223,-0.0731394199731017
224,-0.0019948886564661317
225,-6.759950901269463e-07
226,-0.0003554822666611557
227,-1.6595835816701765e-10
228,-5.979417511126073e-07
229,-8.399797278180188e-06
230,-5.4421373339774703e-05
231,-0.0004520696215557507
232,-5.087111487611651e-08
233,0.0
234,-5.18281590977665e-07
235,0.0
236,-0.0004630916373258298
237,-2.1962431873134847e-12
238,-0.003337267505924002
239,-0.003286117959858892
240,-1.0874965916674029e-07
241,-8.60466933927384e-07
242,-8.034017895397483e-12
243,-1.4264832413291018e-05
244,-0.06534614316839904
245,-0.0011799883512373377
246,-1.6282530879152546e-12
247,-0.41870102633108175
248,-8.434085432273974e-07
249,0.0
250,-3.159276637121344e-05
251,-2.636419755530639e-05
252,-0.17317042962628837
253,-4.73958328106594e-05
254,-2.0117241206207837e-12
255,0.0
256,-0.004384135843815029
257,-0.05646564228328388
258,-0.00038009753289092174
259,-4.2210553719002064e-08
260,0.0
261,-6.824071085986816e-09
262,-6.36725109304237e-08
263,-0.0015182563165221374
264,-6.353701678118995e-07
265,-0.0003370182854398607
266,-0.024886121124754412
267,-0.0020732528856242105
268,-0.003089603800070728
269,-0.02439103289402822
270,-0.00022804800179732077
271,-9.164750891521578e-08
272,-5.640931955497308e-05
273,-5.5768007545253795e-08
274,-4.890304827753766e-09
275,-6.46850779979502e-05
276,-0.008322706071129726
277,-2.599318538187845e-10
278,-1.7675287198537504e-05
279,-3.1427634712422048e-06
280,-0.0068285617431464996
281,-1.4453060970254228e-10
282,-6.011004249906193e-08
283,-3.921190353639581e-06
284,-2.4290109863045473e-05
285,-6.661338147750939e-16
286,0.0
287,-2.0961538558683657e-05
288,-5.730849150564765e-05
289,-0.005709945139939165
290,-2.5673810466475544e-06
291,-0.022249730088933495
292,-2.007061405961963e-09
293,-3.388131937231975e-07
294,-4.418311725373769e-07
295,-0.00016592939703408138
296,-1.41582945367702e-09
297,-0.0017531546870094283
298,-6.454588058846245e-05
299,-8.22226530194925e-08
300,-0.0016704236779430115
301,-0.00060173621433246
302,-1.1716716485921097e-10
303,-1.092551160652988e-09
304,-3.6390881419379184e-09
305,-0.0034087674960239234
306,-0.00026329316437090355
307,-1.223612235978777e-07
308,-1.3627051869358198e-05
309,-0.0016689493312407322
310,-3.8528769674694985e-07
311,-7.049539441084107e-08
312,-6.0902779390969997e-05
313,-4.672851626130736e-05
314,-6.705480384283646e-07
315,-3.908686840858877e-08
316,-1.3731764554325565e-06
317,-0.009115492124553204
318,-7.393185064152874e-09
319,-9.046656757050187e-10
320,-2.4359615198310536e-06
321,-1.4205733633865236e-07
322,-0.00025808414393169166
323,0.0
324,-1.079777156576256e-09
325,0.0
326,-1.7075826086454526e-08
327,-0.04642916228699878
328,-1.176092556676167e-11
329,-1.035171948160496e-11
330,-1.3123768822786985e-05
331,-0.00027209360947477723
332,-0.0002646228581646426
333,-6.228214948222899e-07
334,-3.291295113672099e-05
335,-4.125366714902157e-12
336,-3.863030340056639e-09
337,-1.3351098004932282e-11
338,-2.3839194700281396e-05
339,-0.00014919876108787644
340,-8.881784197001252e-16
341,-0.0018276388224205409
342,-2.0160926261780787e-09
343,-2.979345992137894e-09
344,-2.0285447887791186e-05
345,-0.008495797345376754
346,-0.0001365935468758961
347,-3.100814240819538e-05
348,-1.7834205068067988e-05
349,-1.8155477121695185e-12
350,0.0
351,-4.7725601248771454e-11
352,-0.0028727800470004228
353,-2.070595622960525e-06
354,-0.007700815030759367
355,-3.796790170507158e-05
356,-4.440892098500626e-16
357,-6.373040983831402e-10
358,-2.3337740313600364e-06
359,-9.158627589656021e-07
360,-0.00015305413617650032
361,-2.8418333686275332e-08
362,-9.829156644158843e-08
363,-1.7428281040565707e-12
364,-2.290854062003689e-09
365,-3.3517633113433476e-12
366,-0.012629867810758366
367,-0.028285578728229233
368,-1.266588389725598e-09
369,-1.1616885883025674e-05
370,-0.010702263943263679
371,-0.000649582007318239
